,n,#colours_used,m_degree_G,#dense_vertices,#b_chromatic_vertices,#dense_non_b_chro,#dense_b_chro,#non_dense_b_chro
0,50,12.0797,25.4209,28.6623,28.1837,9.062,19.6003,8.5834
1,100,20.0333,50.4356,54.8809,53.4121,19.9709,34.91,18.5021
2,150,27.3476,75.4606,80.8035,75.2146,32.8608,47.9427,27.2719
3,200,34.2389,100.4675,106.5509,96.1788,46.39,60.1609,36.0179
4,250,40.787,125.4706,132.2024,118.258,59.3394,72.863,45.395
5,300,47.0349,150.4656,157.7905,145.4484,69.489,88.3015,57.1469
6,350,53.4987,175.4627,183.4269,159.0384,87.264,96.1629,62.8755
7,400,59.1255,200.4654,208.9354,190.204,95.3661,113.5693,76.6347
8,450,65.353,225.4762,234.3432,205.804,111.9899,122.3533,83.4507
9,500,71.4211,250.4689,259.8258,222.0344,127.9642,131.8616,90.1728
10,550,76.4665,275.4895,285.2245,263.188,131.0601,154.1644,109.0236
11,600,82.6962,300.4818,310.7911,261.3164,156.9555,153.8356,107.4808
12,650,88.4787,325.4645,336.0902,289.2489,166.9431,169.1471,120.1018
13,700,93.5446,350.4857,361.4873,322.4097,174.5518,186.9355,135.4742
14,750,99.6363,375.4736,386.9555,317.2956,202.0434,184.9121,132.3835
15,800,104.3379,400.4863,412.198,363.9572,201.8855,210.3125,153.6447
16,850,109.4767,425.4762,437.5873,389.5884,214.0936,223.4937,166.0947
17,900,115.7257,450.4955,462.9638,401.8911,231.4634,231.5004,170.3907
18,950,120.1617,475.4838,488.135,435.7568,239.072,249.063,186.6938
19,1000,125.7337,500.4765,513.5326,425.4061,270.1392,243.3934,182.0127
