,G,V(G),E(G),DENSITY(G),m(G),PR1(G),TPR1(s),PR2(G),TPR2(s),PR3(G),TPR3(s),QuickBcol,TQ(s),HEA_b,TH(s)
0,flat1000_50_0.col,1000,245000,0.4904904904904905,492,137,0.3096048831939697,139,66.5556960105896,132,165.48501777648926,-,-,139,58427.97
1,le450_25.d.col,450,17425,0.1724820588963128,99,41,0.061499834060668945,42,3.3849899768829346,40,8.808733940124512,-,-,45,256.42
2,DSJR500.5.col,500,58862,0.47183967935871746,234,159,0.052478790283203125,164,5.701596021652222,176,14.199834108352661,-,-,166,15007.0
3,R250.5.col,250,14849,0.4770763052208835,119,81,0.013084888458251953,85,0.7124719619750977,96,1.804943323135376,-,-,92,1836.16
4,le450_25.c.col,450,17343,0.17167037861915369,101,42,0.064788818359375,41,3.421128034591675,43,8.846276760101318,-,-,45,571.72
5,flat300_28_0.col,300,21695,0.48372352285395764,146,51,0.025516033172607422,51,1.529576063156128,50,3.6633763313293457,-,-,55,1048.04
6,myciel5.col,47,236,0.2183163737280296,13,6,0.0009891986846923828,6,0.00585174560546875,8,0.013426065444946289,8,0.7513,-,-
7,myciel4.col,23,71,0.28063241106719367,7,5,0.0002789497375488281,5,0.001039743423461914,5,0.0022351741790771484,6,0.5419,-,-
8,myciel6.col,95,755,0.1690929451287794,21,7,0.0037908554077148438,8,0.035845279693603516,10,0.08697080612182617,13,1.8345,-,-
9,myciel7.col,191,2360,0.13006337834114082,35,10,0.013265132904052734,10,0.23901104927062988,16,0.5909459590911865,16,11.3901,-,-
10,myciel3.col,11,20,0.36363636363636365,5,4,8.821487426757812e-05,4,0.00020313262939453125,4,0.00039887428283691406,4,0.4166,-,-
11,miles1000.col,128,3216,0.3956692913385827,57,45,0.004067182540893555,44,0.08757400512695312,48,0.20354890823364258,47,4.2587,-,-
12,DSJC250.5.col,250,15668,0.5033895582329317,126,46,0.015031099319458008,46,0.8810880184173584,44,2.1550142765045166,-,-,50,186.84
13,miles250.col,92,327,0.07811753463927378,13,9,0.0052490234375,9,0.13881516456604004,10,0.22861003875732422,12,0.5527,-,-
14,queen6.col,36,290,0.4603174603174603,16,10,0.0004410743713378906,10,0.003213167190551758,9,0.007504940032958984,11,0.8934,-,-
15,queen10.col,100,1470,0.296969696969697,32,15,0.003155231475830078,16,0.04991912841796875,17,0.11743927001953125,18,3.5566,-,-
16,queen5.col,191,2360,0.13006337834114082,35,10,0.01341104507446289,10,0.2392587661743164,16,0.5918838977813721,9,0.4326,-,-
17,DSJC500.5.col,500,62624,0.5019959919839679,251,81,0.06196403503417969,79,7.318248987197876,78,18.422077178955078,-,-,84,4506.87
18,DSJC500.1.col,500,12458,0.09986372745490982,59,23,0.08790922164916992,23,3.8715319633483887,23,10.427608966827393,-,-,25,113.61
