,n,#colours_used,m_degree_G,#dense_vertices,#b_chromatic_vertices,#dense_non_b_chro,#dense_b_chro,#non_dense_b_chro
0,50,12.376,25.388,28.723,29.713,7.806,20.917,8.796
1,100,20.664,50.465,54.871,54.397,18.859,36.012,18.385
2,150,27.918,75.448,80.812,78.967,29.985,50.827,28.14
3,200,35.278,100.483,106.446,102.025,41.945,64.501,37.524
4,250,42.254,125.462,132.275,124.949,54.296,77.979,46.97
5,300,48.005,150.481,158.133,151.24,65.649,92.484,58.756
6,350,55.476,175.452,183.565,167.72,80.847,102.718,65.002
7,400,61.013,200.476,209.104,191.188,93.672,115.432,75.756
8,450,66.601,225.508,234.396,219.074,103.513,130.883,88.191
9,500,74.506,250.468,260.007,233.892,119.364,140.643,93.249
10,550,78.325,275.475,285.301,260.167,130.946,154.355,105.812
11,600,84.115,300.457,311.062,283.486,142.691,168.371,115.115
12,650,92.216,325.482,336.086,298.519,158.958,177.128,121.391
13,700,96.717,350.504,361.494,322.169,171.356,190.138,132.031
14,750,101.968,375.44,386.907,345.152,183.672,203.235,141.917
15,800,108.108,400.456,412.13,363.056,199.962,212.168,150.888
16,850,111.802,425.431,437.598,391.976,210.409,227.189,164.787
17,900,119.034,450.491,463.072,404.48,227.997,235.075,169.405
18,950,123.849,475.482,488.198,427.06,240.73,247.468,179.592
19,1000,128.613,500.494,513.681,452.999,252.32,261.361,191.638
